clip_id,predicted_emotion
clip_000008,neutral
clip_000013,neutral
clip_000019,neutral
clip_000045,sad
clip_000050,happy
clip_000054,sad
clip_000058,sad
clip_000059,sad
clip_000060,sad
clip_000061,anger
clip_000078,anger
clip_000084,anger
clip_000089,fear
clip_000095,sad
clip_000096,fear
clip_000102,neutral
clip_000121,anger
clip_000125,anger
clip_000127,sad
clip_000150,neutral
clip_000160,fear
clip_000180,sad
clip_000198,anger
clip_000207,anger
clip_000219,fear
clip_000220,anger
clip_000244,disgust
clip_000246,neutral
clip_000247,neutral
clip_000250,happy
clip_000258,fear
clip_000266,sad
clip_000269,sad
clip_000272,neutral
clip_000274,sad
clip_000276,sad
clip_000286,neutral
clip_000287,anger
clip_000303,sad
clip_000312,happy
clip_000313,sad
clip_000336,sad
clip_000337,sad
clip_000351,sad
clip_000361,disgust
clip_000375,neutral
clip_000394,sad
clip_000407,neutral
clip_000426,anger
clip_000428,neutral
clip_000437,happy
clip_000438,neutral
clip_000453,neutral
clip_000456,anger
clip_000479,happy
clip_000480,anger
clip_000503,neutral
clip_000516,sad
clip_000519,neutral
clip_000520,sad
clip_000521,happy
clip_000522,sad
clip_000528,sad
clip_000529,anger
clip_000558,sad
clip_000560,anger
clip_000594,sad
clip_000598,anger
clip_000603,neutral
clip_000628,sad
clip_000644,anger
clip_000652,anger
clip_000658,sad
clip_000666,anger
clip_000671,anger
clip_000684,sad
clip_000688,sad
clip_000691,disgust
clip_000696,anger
clip_000706,sad
clip_000710,disgust
clip_000722,neutral
clip_000750,happy
clip_000758,disgust
clip_000761,sad
clip_000764,neutral
clip_000765,sad
clip_000767,sad
clip_000769,sad
clip_000778,anger
clip_000779,neutral
clip_000789,neutral
clip_000798,sad
clip_000803,sad
clip_000819,sad
clip_000821,fear
clip_000827,neutral
clip_000835,disgust
clip_000850,neutral
clip_000866,anger
clip_000875,neutral
clip_000893,fear
clip_000895,sad
clip_000901,happy
clip_000912,anger
clip_000920,disgust
clip_000922,neutral
clip_000924,anger
clip_000928,fear
clip_000931,happy
clip_000939,neutral
clip_000942,anger
clip_000945,neutral
clip_000951,sad
clip_000953,anger
clip_000964,neutral
clip_000965,happy
clip_000967,sad
clip_000968,anger
clip_000974,sad
clip_000975,neutral
clip_000977,anger
clip_000979,sad
clip_000980,sad
clip_000989,sad
clip_001008,neutral
clip_001017,anger
clip_001028,neutral
clip_001031,happy
clip_001042,sad
clip_001059,fear
clip_001075,fear
clip_001081,disgust
clip_001092,sad
clip_001098,disgust
clip_001111,neutral
clip_001128,anger
clip_001149,happy
clip_001153,sad
clip_001161,sad
clip_001167,fear
clip_001175,neutral
clip_001176,disgust
clip_001179,fear
clip_001187,sad
clip_001191,sad
clip_001196,disgust
clip_001201,happy
clip_001235,neutral
clip_001241,neutral
clip_001243,disgust
clip_001245,sad
clip_001256,neutral
clip_001261,sad
clip_001265,disgust
clip_001278,anger
clip_001279,anger
clip_001285,neutral
clip_001287,anger
clip_001289,neutral
clip_001300,sad
clip_001301,sad
clip_001305,happy
clip_001319,sad
clip_001340,neutral
clip_001369,neutral
clip_001379,neutral
clip_001398,sad
clip_001402,sad
clip_001409,anger
clip_001410,fear
clip_001425,anger
clip_001428,fear
clip_001439,fear
clip_001468,sad
clip_001474,neutral
clip_001478,anger
clip_001481,neutral
clip_001484,disgust
clip_001485,disgust
clip_001486,sad
clip_001487,happy
clip_001491,anger
clip_001494,neutral
clip_001495,neutral
clip_001501,happy
clip_001506,neutral
clip_001525,sad
clip_001535,sad
clip_001550,neutral
clip_001555,neutral
clip_001568,sad
clip_001570,happy
clip_001589,anger
clip_001598,anger
clip_001604,neutral
clip_001608,neutral
clip_001611,sad
clip_001612,happy
clip_001621,sad
clip_001626,neutral
clip_001635,happy
clip_001657,neutral
clip_001668,disgust
clip_001676,sad
clip_001677,anger
clip_001679,neutral
clip_001698,sad
clip_001705,disgust
clip_001716,neutral
clip_001734,sad
clip_001739,fear
clip_001751,neutral
clip_001767,neutral
clip_001788,neutral
clip_001792,happy
clip_001793,sad
clip_001801,happy
clip_001841,neutral
clip_001844,neutral
clip_001887,sad
clip_001891,sad
clip_001903,happy
clip_001904,sad
clip_001916,neutral
clip_001923,fear
clip_001924,sad
clip_001936,neutral
clip_001946,sad
clip_001952,neutral
clip_001954,happy
clip_001955,anger
clip_001956,sad
clip_001960,anger
clip_001963,neutral
clip_001967,anger
clip_001973,neutral
clip_001979,anger
clip_001980,neutral
clip_001987,fear
clip_001990,happy
clip_001995,fear
clip_001999,sad
clip_002002,sad
clip_002010,happy
clip_002011,neutral
clip_002026,anger
clip_002034,sad
clip_002043,sad
clip_002049,neutral
clip_002054,sad
clip_002059,happy
clip_002060,neutral
clip_002061,disgust
clip_002076,neutral
clip_002084,anger
clip_002096,neutral
clip_002102,anger
clip_002103,anger
clip_002107,sad
clip_002115,neutral
clip_002128,fear
clip_002138,anger
clip_002145,happy
clip_002163,happy
clip_002178,neutral
clip_002179,happy
clip_002190,disgust
clip_002210,anger
clip_002212,neutral
clip_002221,neutral
clip_002223,happy
clip_002228,anger
clip_002235,anger
clip_002241,neutral
clip_002243,sad
clip_002245,happy
clip_002251,sad
clip_002253,neutral
clip_002269,neutral
clip_002275,sad
clip_002278,happy
clip_002284,neutral
clip_002290,neutral
clip_002291,anger
clip_002298,happy
clip_002299,fear
clip_002309,neutral
clip_002345,neutral
clip_002352,neutral
clip_002356,fear
clip_002364,sad
clip_002373,sad
clip_002375,happy
clip_002380,happy
clip_002391,happy
clip_002396,disgust
clip_002409,sad
clip_002412,sad
clip_002413,happy
clip_002415,happy
clip_002416,anger
clip_002420,fear
clip_002429,fear
clip_002440,happy
clip_002445,disgust
clip_002448,sad
clip_002451,fear
clip_002452,sad
clip_002460,sad
clip_002463,disgust
clip_002484,happy
clip_002486,sad
clip_002494,neutral
clip_002495,sad
clip_002500,anger
clip_002507,sad
clip_002513,neutral
clip_002518,fear
clip_002519,anger
clip_002524,sad
clip_002528,happy
clip_002537,neutral
clip_002538,anger
clip_002542,neutral
clip_002548,sad
clip_002571,neutral
clip_002572,fear
clip_002573,happy
clip_002582,anger
clip_002585,anger
clip_002588,neutral
clip_002590,anger
clip_002597,neutral
clip_002598,anger
clip_002614,anger
clip_002620,anger
clip_002624,neutral
clip_002645,neutral
clip_002657,sad
clip_002678,neutral
clip_002682,happy
clip_002684,sad
clip_002686,sad
clip_002690,anger
clip_002702,sad
clip_002707,happy
clip_002735,sad
clip_002737,anger
clip_002750,anger
clip_002757,disgust
clip_002765,anger
clip_002773,anger
clip_002788,happy
clip_002792,anger
clip_002794,neutral
clip_002796,happy
clip_002799,sad
clip_002801,sad
clip_002806,happy
clip_002808,neutral
clip_002814,happy
clip_002815,anger
clip_002827,anger
clip_002828,fear
clip_002838,happy
clip_002845,sad
clip_002847,neutral
clip_002887,happy
clip_002899,anger
clip_002903,sad
clip_002909,neutral
clip_002922,fear
clip_002928,sad
clip_002931,neutral
clip_002944,happy
clip_002978,sad
clip_002990,neutral
clip_003027,disgust
clip_003043,disgust
clip_003045,disgust
clip_003049,sad
clip_003051,disgust
clip_003068,anger
clip_003069,anger
clip_003073,sad
clip_003079,anger
clip_003089,disgust
clip_003090,happy
clip_003095,neutral
clip_003102,fear
clip_003131,neutral
clip_003136,disgust
clip_003144,sad
clip_003145,fear
clip_003170,sad
clip_003188,anger
clip_003191,anger
clip_003196,anger
clip_003212,anger
clip_003218,sad
clip_003224,sad
clip_003230,sad
clip_003233,disgust
clip_003245,fear
clip_003260,neutral
clip_003271,anger
clip_003280,sad
clip_003283,anger
clip_003288,neutral
clip_003301,sad
clip_003305,sad
clip_003318,fear
clip_003319,neutral
clip_003320,happy
clip_003325,disgust
clip_003335,anger
clip_003336,anger
clip_003339,anger
clip_003344,sad
clip_003350,neutral
clip_003359,happy
clip_003366,fear
clip_003370,sad
clip_003372,neutral
clip_003377,anger
clip_003384,neutral
clip_003389,fear
clip_003397,sad
clip_003432,neutral
clip_003434,neutral
clip_003438,sad
clip_003445,fear
clip_003452,happy
clip_003456,neutral
clip_003471,happy
clip_003472,anger
clip_003473,sad
clip_003485,sad
clip_003486,sad
clip_003492,sad
clip_003495,neutral
clip_003499,neutral
clip_003506,neutral
clip_003507,neutral
clip_003509,sad
clip_003510,neutral
clip_003526,neutral
clip_003527,sad
clip_003536,sad
clip_003543,neutral
clip_003548,neutral
clip_003553,neutral
clip_003555,happy
clip_003563,fear
clip_003567,neutral
clip_003569,sad
clip_003573,neutral
clip_003575,fear
clip_003581,anger
clip_003587,sad
clip_003591,neutral
clip_003597,anger
clip_003601,neutral
clip_003602,happy
clip_003603,happy
clip_003608,happy
clip_003620,disgust
clip_003635,anger
clip_003642,sad
clip_003671,anger
clip_003672,anger
clip_003675,sad
clip_003699,anger
clip_003710,happy
clip_003716,disgust
clip_003723,sad
clip_003731,sad
clip_003749,sad
clip_003758,fear
clip_003763,fear
clip_003773,neutral
clip_003775,sad
clip_003778,sad
clip_003779,anger
clip_003783,anger
clip_003787,anger
clip_003790,neutral
clip_003796,neutral
clip_003803,neutral
clip_003808,sad
clip_003809,sad
clip_003810,neutral
clip_003814,anger
clip_003820,sad
clip_003830,neutral
clip_003844,neutral
clip_003846,anger
clip_003852,happy
clip_003859,neutral
clip_003868,anger
clip_003869,neutral
clip_003876,sad
clip_003881,neutral
clip_003884,sad
clip_003897,neutral
clip_003923,disgust
clip_003952,neutral
clip_003960,neutral
clip_003970,sad
clip_003975,sad
clip_003976,neutral
clip_003982,anger
clip_003991,sad
clip_004006,neutral
clip_004015,anger
clip_004023,neutral
clip_004046,anger
clip_004054,anger
clip_004075,sad
clip_004099,disgust
clip_004112,sad
clip_004114,anger
clip_004126,sad
clip_004131,fear
clip_004137,sad
clip_004145,neutral
clip_004161,anger
clip_004176,sad
clip_004183,sad
clip_004186,neutral
clip_004202,neutral
clip_004203,neutral
clip_004208,sad
clip_004212,sad
clip_004243,anger
clip_004248,anger
clip_004250,anger
clip_004252,disgust
clip_004254,sad
clip_004269,neutral
clip_004271,neutral
clip_004274,disgust
clip_004281,fear
clip_004287,sad
clip_004293,sad
clip_004296,happy
clip_004297,neutral
clip_004300,fear
clip_004302,disgust
clip_004314,happy
clip_004317,sad
clip_004318,happy
clip_004326,anger
clip_004329,neutral
clip_004335,happy
clip_004347,fear
clip_004348,happy
clip_004367,neutral
clip_004381,fear
clip_004385,fear
clip_004396,anger
clip_004397,neutral
clip_004402,sad
clip_004411,neutral
clip_004424,disgust
clip_004429,disgust
clip_004430,sad
clip_004440,neutral
clip_004460,sad
clip_004463,neutral
clip_004468,neutral
clip_004472,neutral
clip_004473,fear
clip_004481,neutral
clip_004484,neutral
clip_004489,fear
clip_004505,happy
clip_004521,neutral
clip_004524,disgust
clip_004536,neutral
clip_004541,neutral
clip_004552,neutral
clip_004570,neutral
clip_004572,sad
clip_004591,anger
clip_004598,sad
clip_004604,disgust
clip_004610,sad
clip_004618,anger
clip_004619,sad
clip_004628,sad
clip_004631,happy
clip_004632,anger
clip_004634,fear
clip_004640,sad
clip_004643,neutral
clip_004645,sad
clip_004649,anger
clip_004653,fear
clip_004667,sad
clip_004669,anger
clip_004674,neutral
clip_004677,sad
clip_004684,neutral
clip_004692,disgust
clip_004693,sad
clip_004696,sad
clip_004706,disgust
clip_004709,anger
clip_004719,sad
clip_004720,sad
clip_004741,sad
clip_004742,sad
clip_004746,sad
clip_004761,fear
clip_004771,neutral
clip_004787,happy
clip_004814,fear
clip_004821,anger
clip_004834,neutral
clip_004835,sad
clip_004838,happy
clip_004840,anger
clip_004861,neutral
clip_004881,neutral
clip_004893,sad
clip_004894,sad
clip_004903,sad
clip_004906,anger
clip_004909,anger
clip_004912,happy
clip_004916,neutral
clip_004921,sad
clip_004923,disgust
clip_004941,happy
clip_004946,neutral
clip_004947,happy
clip_004957,happy
clip_004964,anger
clip_004971,anger
clip_004973,neutral
clip_004981,neutral
clip_004991,disgust
clip_004994,anger
clip_005010,neutral
clip_005011,disgust
clip_005023,sad
clip_005024,sad
clip_005038,disgust
clip_005039,fear
clip_005053,anger
clip_005058,sad
clip_005066,sad
clip_005070,disgust
clip_005073,anger
clip_005078,fear
clip_005086,sad
clip_005087,anger
clip_005115,neutral
clip_005121,neutral
clip_005122,anger
clip_005123,happy
clip_005124,anger
clip_005136,neutral
clip_005167,sad
clip_005172,anger
clip_005181,disgust
clip_005187,anger
clip_005197,neutral
clip_005201,sad
clip_005218,happy
clip_005235,disgust
clip_005237,sad
clip_005243,anger
clip_005252,fear
clip_005259,sad
clip_005263,sad
clip_005265,anger
clip_005298,anger
clip_005328,disgust
clip_005336,sad
clip_005372,sad
clip_005381,anger
clip_005385,happy
clip_005387,neutral
clip_005388,neutral
clip_005390,fear
clip_005393,sad
clip_005402,happy
clip_005408,neutral
clip_005417,happy
clip_005425,anger
clip_005431,happy
clip_005460,sad
clip_005492,fear
clip_005503,disgust
clip_005512,anger
clip_005516,sad
clip_005529,neutral
clip_005535,fear
clip_005536,neutral
clip_005537,sad
clip_005538,sad
clip_005548,sad
clip_005557,happy
clip_005563,sad
clip_005569,sad
clip_005572,happy
clip_005578,anger
clip_005583,anger
clip_005591,neutral
clip_005604,neutral
clip_005607,sad
clip_005610,sad
clip_005615,sad
clip_005624,sad
clip_005626,fear
clip_005629,happy
clip_005632,anger
clip_005647,sad
clip_005659,anger
clip_005667,neutral
clip_005677,neutral
clip_005689,fear
clip_005720,anger
clip_005735,disgust
clip_005743,happy
clip_005750,happy
clip_005756,sad
clip_005762,fear
clip_005788,anger
clip_005802,anger
clip_005818,anger
clip_005819,disgust
clip_005823,sad
clip_005830,neutral
clip_005837,sad
clip_005849,sad
clip_005860,sad
clip_005866,happy
clip_005900,sad
clip_005925,neutral
clip_005927,neutral
clip_005934,anger
clip_005936,neutral
clip_005953,happy
clip_005975,anger
clip_005981,anger
clip_005987,anger
clip_005999,neutral
clip_006023,anger
clip_006034,neutral
clip_006046,neutral
clip_006065,sad
clip_006075,neutral
clip_006080,neutral
clip_006090,happy
clip_006098,sad
clip_006139,happy
clip_006161,fear
clip_006163,neutral
clip_006182,anger
clip_006183,neutral
clip_006185,neutral
clip_006188,neutral
clip_006199,sad
clip_006222,anger
clip_006224,fear
clip_006244,neutral
clip_006252,fear
clip_006256,disgust
clip_006259,anger
clip_006265,happy
clip_006277,sad
clip_006307,sad
clip_006308,sad
clip_006309,anger
clip_006318,anger
clip_006322,happy
clip_006324,fear
clip_006325,neutral
clip_006332,neutral
clip_006335,neutral
clip_006345,fear
clip_006347,anger
clip_006355,neutral
clip_006430,neutral
clip_006431,anger
clip_006433,anger
clip_006439,sad
clip_006440,happy
clip_006456,sad
clip_006469,happy
clip_006482,sad
clip_006492,neutral
clip_006512,anger
clip_006565,sad
clip_006584,sad
clip_006585,happy
clip_006587,disgust
clip_006606,neutral
clip_006611,disgust
clip_006639,disgust
clip_006643,anger
clip_006659,happy
clip_006660,happy
clip_006671,neutral
clip_006680,neutral
clip_006693,sad
clip_006709,happy
clip_006718,neutral
clip_006723,anger
clip_006731,anger
clip_006740,neutral
clip_006743,sad
clip_006772,sad
